,id,label,freq,threshold,tp,fn,fp,precision,recall,f2
59,0,agriculture,0.31,0.5899999737739563,1114,157,239,0.8233555062823356,0.8764752163650669,0.8490853658536586
121,1,artisinal_mine,0.01,0.20000000298023224,31,6,6,0.8378378378378378,0.8378378378378378,0.8378378378378378
237,2,bare_ground,0.02,0.3499999940395355,18,67,12,0.6,0.21176470588235294,0.3130434782608696
308,3,blooming,0.01,0.05000000074505806,13,17,38,0.2549019607843137,0.43333333333333335,0.32098765432098764
410,4,blow_down,0.0,0.05999999865889549,1,5,0,1.0,0.16666666666666666,0.2857142857142857
558,5,clear,0.7,0.5299999713897705,2736,83,102,0.9640591966173362,0.9705569350833629,0.9672971539685346
648,6,cloudy,0.06,0.41999998688697815,191,39,25,0.8842592592592593,0.8304347826086956,0.8565022421524664
718,7,conventional_mine,0.0,0.10999999940395355,5,3,0,1.0,0.625,0.7692307692307693
841,8,cultivation,0.12,0.33000001311302185,287,197,185,0.6080508474576272,0.5929752066115702,0.600418410041841
931,9,habitation,0.09,0.2199999988079071,260,118,131,0.6649616368286445,0.6878306878306878,0.6762028608582574
1064,10,haze,0.07,0.5400000214576721,192,75,69,0.735632183908046,0.7191011235955056,0.7272727272727273
1143,11,partly_cloudy,0.18,0.3199999928474426,690,42,77,0.8996088657105606,0.9426229508196722,0.9206137424949966
1283,12,primary,0.92,0.7099999785423279,3685,39,77,0.97953216374269,0.9895273899033298,0.9845044082286936
1346,13,road,0.2,0.33000001311302185,667,139,114,0.8540332906530089,0.8275434243176178,0.8405797101449275
1417,14,selective_logging,0.01,0.029999999329447746,10,14,53,0.15873015873015872,0.4166666666666667,0.22988505747126436
1519,15,slash_burn,0.01,0.03999999910593033,7,15,56,0.1111111111111111,0.3181818181818182,0.16470588235294117
1643,16,water,0.19,0.27000001072883606,572,181,141,0.8022440392706872,0.7596281540504648,0.7803547066848567
